Link,Website,Title,Description,Author,Date,Type,Keywords,
https://www.blockchain-council.org/web-3/top-5-web3-careers-for-developers/,Blockchain Council,Top 5 Web3 Careers For Developers,"In this article, we will talk about the top 5 Web3 careers for developers. By the end of this article, you, as a Web3 developer, will get to know the key to succeed in Web3 careers for developers.",Blockchain Council,2023-09-25T11:15:55+00:00,article,,
https://www.blockchain-council.org/news/sortium-a-web3-studio-raises-7-8m-in-a-seed-round/,Blockchain Council,"Sortium, a Web3 Studio, Raises $7.8M in a Seed Round","Around 50 people work with Sortium, including Blockchain engineers, AI engineers, and a full-fledged game studio, read in-detail news...",Blockchain Council,2023-01-17T14:32:46+00:00,article,,
https://www.blockchain-council.org/guide/metaverse-guide-everything-you-need-to-know/,Blockchain Council,What is the Metaverse? Step-by-Step Beginners Guide 2024 [UPDATED],"Learn from our Step-by-Step Beginners Guide on What is the Metaverse?"" and get an in-depth understanding of the Metaverse world.""",Blockchain Council,2023-01-13T17:52:09+00:00,article,,
https://www.blockchain-council.org/web-3/top-web3-certifications-training/,Blockchain Council,Top Web3 Certifications & Training in 2024,"Discover the top web3 courses and programs to enhance your knowledge and skills in decentralized finance, smart contracts, and NFTs.",Pradeep Aswal,2023-01-06T13:24:07+00:00,article,,
https://www.blockchain-council.org/news/luxury-fashion-meets-blockchain-on-syky-a-web3-platform-powered-by-seven-seven-six/,Blockchain Council,"Luxury Fashion meets Blockchain on Syky, a Web3 Platform Powered by Seven Seven Six","Alice Delahunt started the procedure by founding Syky, called psy-key", since she believed Web3 would be the future of style. Read more...,Blockchain Council,2023-01-18T16:56:31+00:00,article,
https://www.blockchain-council.org/web-3/why-is-a-bear-market-the-best-time-for-web3-education/,Blockchain Council,Why is a bear market the best time for Web3 education?,"The Global market is going through a bearish phase, and the results are pretty easily visible in the form of an economic slowdown. Investors are not interested in investing during the slowdown, and still, there are debates about learning Web3, irrespective of the bearish market.",Pradeep Aswal,2022-12-17T06:21:33+00:00,article,,
https://www.blockchain-council.org/web-3/how-to-become-a-3d-designer/,Blockchain Council,How to become a 3D Designer | Step-by-Step Guide to 3D Modelling Career in 2023,A 3D designer for Web3 uses 3D modeling and other digital design techniques to create content in Web3 and different immersive online experiences.,Pradeep Aswal,2022-12-30T13:46:08+00:00,article,,
https://www.blockchain-council.org/web-3/understanding-the-interrelationship-between-web3-and-blockchain/,Blockchain Council,Understanding the Interdependence of Web3 and Blockchain [UPDATED],Web3 and Blockchain are often considered parallel technology. These buzzwords are sometimes mistaken to understand with clarity and are often linked with cryptocurrency.,Blockchain Council,2022-12-21T18:37:22+00:00,article,,
https://www.blockchain-council.org/news/emg-launches-decentralised-telco-supper-app-a-web3-one-stop-shop-solutions/,Blockchain Council,"EMG Launches Decentralised Telco “Super App,” a Web3 One-Stop Shop Solutions","EMG, a Web3 firm, created a Supper App"" with the help of Emeldi Group"," a leading developer of e-commerce services for the telecom industry.""",Blockchain Council,2023-01-18T17:14:04+00:00,article,
https://www.blockchain-council.org/web-3/jobs-in-web3-space/,Blockchain Council,Top 5 Jobs In The Web3 Space,"Web3 is reshaping the digital landscape, emphasizing decentralization and user empowerment.",Blockchain Council,2023-11-17T09:40:05+00:00,article,,
https://www.blockchain-council.org/web-3/why-are-web3-developers-and-experts-a-must-to-scale-businesses-today/,Blockchain Council,Why are Web3 Developers and Experts a Must to Scale Businesses Today?,An understanding of the working and elements of Web3 will help you develop a conscience of how to use Web3 to improve the scalability of a business,Blockchain Council,2022-12-29T06:46:25+00:00,article,,
https://www.blockchain-council.org/web-3/web3-decentralization-disruption-and-digital-assets/,Blockchain Council,"Web3 – Decentralization, Disruption, and Digital Assets","For all that Web3 promises, decentralization has evolved into a rallying cry and even a catalyst.",Pradeep Aswal,2023-02-01T07:22:48+00:00,article,,
https://www.blockchain-council.org/nft/how-to-mint-an-nft/,Blockchain Council,How to Mint an NFT: A Guide to Create Your Digital Artwork [UPDATED],Wanna mint your favourite art piece into an NFT? Learn in-depth about NFT development by enrolling in our NFT Developer certification today!,Toshendra Kumar Sharma,2022-12-12T15:59:28+00:00,article,,
https://www.blockchain-council.org/web-3/most-popular-web3-applications/,Blockchain Council,10 Most Popular Web3 Applications for 2024,"In 2024, Web 3.0 applications, also known as decentralized applications or DApps, are reshaping the digital landscape, driven by Blockchain technology.",Blockchain Council,2023-12-08T08:47:01+00:00,article,,
https://www.blockchain-council.org/web-3/top-3d-animation-courses/,Blockchain Council,Top 3D Animation Courses,A 3D animation is a digital animation that uses computer software to create moving images in a three-dimensional space.,Blockchain Council,2023-01-18T15:39:52+00:00,article,,
https://www.blockchain-council.org/web-3/web3-js-vs-ethers-js/,Blockchain Council,Web3.js Vs Ethers.js : Know the Key Differences,Web3.js and Ethers.js are popular JavaScript libraries for building decentralized applications,Blockchain Council,2023-02-13T14:59:14+00:00,article,,
https://www.blockchain-council.org/glossary/web3-glossary/,Blockchain Council,The Ultimate Web3 Glossary: Decoding A-Z of the Future of Internet,The Ultimate Web3 Glossary is here! Decode A-Z of all the Web3 terms with the best glossary of Web3. Are you ready to learn the Web3 jargon?,Blockchain Council,2023-08-07T13:27:55+00:00,article,,
https://www.blockchain-council.org/ai/how-to-become-an-artificial-intelligence-engineer/,Blockchain Council,"How to Become an Artificial Intelligence Engineer: Roles, and More","Artificial Intelligence (AI) engineers design, develop and deploy AI-based systems, working with data scientists and software engineers to identify and solve complex problems.",Pradeep Aswal,2023-02-21T12:47:31+00:00,article,,
https://www.blockchain-council.org/web-3/how-to-land-a-high-paying-web3-job/,Blockchain Council,How to Land a High-Paying Web3 Job?,"Key steps to land a high-paying Web3 job include learning Blockchain basics, mastering programming languages like Solidity, and understanding decentralized applications (dApps).",Blockchain Council,2023-11-16T11:27:06+00:00,article,,
https://www.blockchain-council.org/metaverse/the-future-of-social-media-in-the-metaverse/,Blockchain Council,The Future Of Social Media In The Metaverse,"In this article, we will discuss the future of social media in the Metaverse and how it is likely to change how we consume daily content in the virtual world.",Blockchain Council,2023-01-11T19:17:20+00:00,article,,
https://www.blockchain-council.org/guide/the-ultimate-guide-to-web3/,Blockchain Council,The Ultimate Guide to Web3 [UPDATED],Welcome to the ultimate guide to Web3 that will take you on an epic journey through the fascinating world of Web3!,Blockchain Council,2023-08-04T04:38:10+00:00,article,,
https://www.blockchain-council.org/web-3/how-will-web3-impact-search-engines/,Blockchain Council,How will Web3 impact search engines?,"Search engines like Google have been using user data to generate influential analyses and reports that help businesses grow using user-based analytics, which doesn’t seem wrong considering the limitations of the current Internet generation.",Pradeep Aswal,2023-01-25T13:47:47+00:00,article,,
https://jwcn-eurasipjournals.springeropen.com/articles/10.1186/s13638-021-01958-8,SpringerOpen,A survey: applications of blockchain in the Internet of Vehicles,"Blockchain technology has completely changed the area of cryptocurrency with a Peer-to-Peer system named Bitcoin. It can provide a distributed, transparent and highly confidential database by recording immutable transactions. Currently, the technique has obtained great research interest on other areas, including the Internet of vehicles (IoVs). In order to solve some centralized problems and improve the architecture of the IoVs, the blockchain technology is utilized to build a decentralized and secure vehicular environment. In this survey, we aim to construct a comprehensive analysis on the applications of blockchain in the IoV. This paper starts with the introduction of the IoVs and the blockchain. Additionally, some existing surveys on the blockchain enabled IoVs are reviewed. Besides, the combination of the blockchain technology and the IoVs is analyzed from seven aspects to describe how the blockchain is implemented in the IoVs. Finally, the future research directions related to the integration are highlighted.","Wang, Chao",2021/12,Review,,
https://journalofbigdata.springeropen.com/articles/10.1186/s40537-021-00544-5,SpringerOpen,IDS-attention: an efficient algorithm for intrusion detection systems using attention mechanism,"Network attacks are illegal activities on digital resources within an organizational network with the express intention of compromising systems. A cyber attack can be directed by individuals, communities, states or even from an anonymous source. Hackers commonly conduct network attacks to alter, damage, or steal private data. Intrusion detection systems (IDS) are the best and most effective techniques when it comes to tackle these threats. An IDS is a software application or hardware device that monitors traffic to search for malevolent activity or policy breaches. Moreover, IDSs are designed to be deployed in different environments, and they can either be host-based or network-based. A host-based intrusion detection system is installed on the client computer, while a network-based intrusion detection system is located on the network. IDSs based on deep learning have been used in the past few years and proved their effectiveness. However, these approaches produce a big false negative rate, which impacts the performance and potency of network security. In this paper, a detection model based on long short-term memory (LSTM) and Attention mechanism is proposed. Furthermore, we used four reduction algorithms, namely: Chi-Square, UMAP, Principal Components Analysis (PCA), and Mutual information. In addition, we evaluated the proposed approaches on the NSL-KDD dataset. The experimental results demonstrate that using Attention with all features and using PCA with 03 components had the best performance, reaching an accuracy of 99.09% and 98.49% for binary and multiclass classification, respectively.","Laghrissi, FatimaEzzahra",2021/12,Research,,
https://energyinformatics.springeropen.com/articles/10.1186/s42162-018-0054-y,SpringerOpen,Blockchain-based orchestration of distributed assets in electrical power systems,"For historical reasons, power systems are designed, controlled and operated centrally. A coordination of the rising number of increasingly heterogeneous, small-scale and citizen- or company-owned assets is not possible with this approach, especially not in the distribution system. The goal of the PhD project presented in this extended abstract is to find out how well distributed approaches perform in orchestrating distributed assets in future power systems from a holistic point of view in comparison to centralized approaches. The research questions are defined and the planned methodology of the project is presented. The most promising use cases in this context are identified, the concept of a decentralized virtual power plant is proposed as a new use case for providing flexibility with small-scale assets and the first ideas for an evaluation framework are presented. Next steps in the project are refining the evaluation framework and evolving the yet existing lab setups. Once these are completed, simulation models can be developed and the main research questions can be answered in detail.","Schlund, Jonas",2018/10,Research,,
https://link.springer.com/article/10.1007/s41471-021-00109-5,Springer International Publishing,Don’t Jump on the Bandwagon: Negative Effects of Sharewashing,"Access-based service usage, or simply “sharing”, is an emerging consumption trend many companies pursue. As various firms seek to exploit this trend, however, consumers might not perceive these companies’ services to be adequate, especially if they misleadingly present traditional marketplace exchanges (e.g., car renting) as sharing. This paper explores potential consequences of such forms of deceptive communication. Drawing on the concept of greenwashing and on consumer skepticism research, we introduce the concept of sharewashing, which we define as misleading communication that erroneously asserts a firm’s offer as part of the sharing economy. To identify the underlying mechanism as well as the consequences of these deceptive practices, this research refers to three experimental studies. The results reveal negative effects of sharewashing on subsequent usage intentions, compared to both sharing and renting offers. Consumer skepticism mediates the effect between the type of offering and usage intention when a sharing offer is compared to a sharewashing offer, and it leads to lower perceived attractiveness and decreasing recipients’ information seeking tendencies regarding the sharewashing offer. However, this mechanism does not hold true if a rental offer is compared to a sharewashing offer, which indicates a different underlying mechanism. From the findings we derive several implications for companies and propose future research directions.","Lehr, Adrian",2021/03,Original Article,,
https://jwcn-eurasipjournals.springeropen.com/articles/10.1186/s13638-022-02196-2,SpringerOpen,Machine learning and deep learning methods for wireless network applications,,"Chen, Abel C. H.",2022/12,Editorial,,
https://jwcn-eurasipjournals.springeropen.com/articles/10.1186/s13638-023-02290-z,SpringerOpen,A survey on cognitive radio network attack mitigation using machine learning and blockchain,"Cognitive radio network is a promising technology to enhance the spectrum utilization and to resolve the spectrum scarcity issues. But the malicious users play havoc with the network during spectrum sensing and demean the network performance. It is mandatory to identify such malicious attacks and address it. There have been many traditional methods to mitigate the cognitive radio network attacks. In this paper, we have surveyed advanced attack mitigation techniques like machine learning, deep learning and blockchain. Thus, by detecting and addressing the malicious activities, the throughput and overall network performance can be improved.","Ezhilarasi, I. Evelyn",2023/12,Review,,
https://journalofbigdata.springeropen.com/articles/10.1186/s40537-023-00701-y,SpringerOpen,"Exploration of issues, challenges and latest developments in autonomous cars","Autonomous cars have achieved exceptional growth in the automotive industry in the last century in terms of reliability, safety and affordability. Due to significant advancements in computing, communication and other technologies, today we are in the era of autonomous cars. A number of prototype models of autonomous cars have been tested covering several miles of test drives. Many prominent car manufacturers have started investing huge resources in this technology to make it commercialize in the near future years. But to achieve this goal still there are a number of technical and non-technical challenges that exist in terms of real-time implementation, consumer satisfaction, security and privacy concerns, policies and regulations. In summary, this survey paper presents a comprehensive and up-to-date overview of the latest developments in the field of autonomous cars, including cutting-edge technologies, innovative applications, and testing. It addresses the key obstacles and challenges hindering the progress of autonomous car development, making it a valuable resource for anyone interested in understanding the current state of the art and future potential of autonomous cars.","Padmaja, B.",2023/12,Survey,,
https://energyinformatics.springeropen.com/articles/10.1186/s42162-021-00184-2,SpringerOpen,Abstracts of the 10th DACH+ Conference on Energy Informatics,,,2021/09,Meeting abstracts,,
https://jshippingandtrade.springeropen.com/articles/10.1186/s41072-024-00165-0,SpringerOpen,Challenges of maritime human resource management for the transition to shipping digitalization,"The purpose of this paper is to discuss the challenges that appear in maritime human resource management, in the face of the digitalized environment in maritime business, due to the diffusion of new technologies, such as big data analytics, blockchain technology, and future MASS technology. The current study is based on a systematic review of the relevant literature attempting to respond to the analysis of the challenges described above. The study reveals that existing scientific interest concentrates on the training and education of the maritime workforce, the new skills required as well as the possible loss of traditional jobs and the creation of new ones, while mainly examining the seagoing personnel. However, limited attention has been paid to the practices of human resource management, which could facilitate the transition to the new era of maritime business. This study aims at contributing to the research in the field of Maritime HRM by revealing gaps in existing literature and suggesting areas for future research as well as new methodological approaches in addressing these gaps.","Theotokas, Ioannis N.",2024/12,Original article,,
https://journalofcloudcomputing.springeropen.com/articles/10.1186/s13677-022-00331-4,SpringerOpen,A robust encryption watermarking algorithm for medical images based on ridgelet-DCT and THM double chaos,"With the help of big data, cloud computing, artificial intelligence and other technologies, the informatization and intelligence of the wisdom medical have been gradually realized. However, with the transmission and storage of massive amounts of medical images in the cloud, information security issues have become increasingly prominent. The privacy of patients is at risk of disclosure, theft and tampering, which has become an important challenge restricting the development of wisdom medical. How to protect the personal information of patients in the cloud environment has become an urgent problem to be solved. Medical image watermarking technology is an effective method to solve this problem. Combining the characteristics of Tent chaos and Henon chaos, this paper designed a Tent-Henon-Map double chaos watermarking encryption method and designed a medical image encryption watermarking algorithm based on ridgelet-DCT transform. The watermark images were encrypted by the Tent-Henon-Map double chaos which had the characteristics of sensitive initial values and large key space. Then, the feature vectors of the medical images were extracted through ridgelet-DCT transform. On the basis of ordinary watermarking technology, combined with zero watermarking, third-party concepts, and cryptographic technology, watermarking had a good ability to resist image processing attacks. The experimental results showed that the key space of the algorithm was $${10}^{116}$$ 10 116 , which had better encryption and hard to crack. The time of watermark embedding and extraction were only 0.336 s and 0.439 s, with lower computational cost. And under high-strength conventional attacks and geometric attacks, the NC values of the algorithm were all greater than 0.55, which could effectively extract watermark information. It shown that the algorithm proposed had good robustness against conventional and geometric attacks It shown that the algorithm proposed had good robustness against conventional and geometric attacks, while taking into account the security.","Liu, Zilong",2022/12,Research,,
https://jwcn-eurasipjournals.springeropen.com/articles/10.1186/s13638-021-02069-0,SpringerOpen,Shape adaptive IRS based SAG IoT network,"6G technology connects physical and digital, and ubiquitous 6G services will provide convenience to users around the world. The concept of the world-earth integrated network is to seamlessly integrate these three subnets to better adapt to future development. This article introduces the world-earth integrated network and shape-adaptive IRS antenna technology. The shape-adaptive IRS antenna described in this article is made of flexible materials, and the physical shape of the antenna can be changed according to different situations, and specific radiation beams can be generated according to functional requirements. And the effectiveness of the shape-adaptive IRS antenna technology has been proven in the simulation results.","Qi, Fei",2021/12,Research,,
https://journalofcloudcomputing.springeropen.com/articles/10.1186/s13677-022-00279-5,SpringerOpen,Identity-based remote data checking with a designated verifier,"Traditional remote data possession auditing mechanisms are usually divided into two types: private auditing and public auditing. Informally, private auditing only allows the original data owner to check the integrity of its outsourced data, whereas anyone is allowed to perform the checking task in public auditing. However, in many practical applications, the data owner expects some designated verifier (instead of others) to audit its data file, which cannot be covered by the existing private or public auditing protocols. Thus, in a recent work, Yan et al. proposed a new auditing technique with a designated verifier [IEEE Systems Journal, 12(4): 1788-1797, 2020]. Nevertheless, we note that this protocol suffers from complicated management of certificates and hence heavily relies on public key infrastructure. To overcome this shortcoming, in this paper, we propose an identity-based auditing protocol with a designated verifier, which not only avoids the introduction of certificates, but also has the desired property of only allowing specific verifier to audit. Its security is based on the classical computational Diffie-Hellman and Weil Diffie-Hellman assumptions. Finally, performance analysis shows that our proposed protocol is very efficient and suitable for some real-life applications.","Ji, Yanyan",2022/12,Research,,
https://jfin-swufe.springeropen.com/articles/10.1186/s40854-016-0036-7,SpringerOpen,The FinTech phenomenon: antecedents of financial innovation perceived by the popular press,"The financial industry has been strongly influenced by digitalization in the past few years reflected by the emergence of “FinTech,” which represents the marriage of “finance” and “information technology.” FinTech provides opportunities for the creation of new services and business models and poses challenges to traditional financial service providers. Therefore, FinTech has become a subject of debate among practitioners, investors, and researchers and is highly visible in the popular media. In this study, we unveil the drivers motivating the FinTech phenomenon perceived by the English and German popular press including the subjects discussed in the context of FinTech. This study is the first one to reflect the media perspective on the FinTech phenomenon in the research. In doing so, we extend the growing knowledge on FinTech and contribute to a common understanding in the financial and digital innovation literature. These study contributes to research in the areas of information systems, finance and interdisciplinary social sciences. Moreover, it brings value to practitioners (entrepreneurs, investors, regulators, etc.), who explore the field of FinTech.","Zavolokina, Liudmila",2016/12,Review,,
https://jhumanitarianaction.springeropen.com/articles/10.1186/s41018-021-00096-6,SpringerOpen,Explicability of humanitarian AI: a matter of principles,"In the debate on how to improve efficiencies in the humanitarian sector and better meet people’s needs, the argument for the use of artificial intelligence (AI) and automated decision-making (ADMs) systems has gained significant traction and ignited controversy for its ethical and human rights-related implications.Setting aside the implications of introducing unmanned and automated systems in warfare, we focus instead on the impact of the adoption of AI-based ADMs in humanitarian response. In order to maintain the status and protection conferred by the humanitarian mandate, aid organizations are called to abide by a broad set of rules condensed in the humanitarian principles and notably the principles of humanity, neutrality, impartiality, and independence. But how do these principles operate when decision-making is automated?This article opens with an overview of AI and ADMs in the humanitarian sector, with special attention to the concept of algorithmic opacity. It then explores the transformative potential of these systems on the complex power dynamics between humanitarians, principled assistance, and affected communities during acute crises. Our research confirms that the existing flaws in accountability and epistemic processes can be also found in the mathematical and statistical formulas and in the algorithms used for automation, artificial intelligence, predictive analytics, and other efficiency-gaining-related processes.In doing so, our analysis highlights the potential harm to people resulting from algorithmic opacity, either through removal or obfuscation of the causal connection between triggering events and humanitarian services through the so-called black box effect (algorithms are often described as black boxes, as their complexity and technical opacity hide and obfuscate their inner workings (Diakopoulos, Tow Center for Digital Journ, 2017). Recognizing the need for a humanitarian ethics dimension in the analysis of automation, AI, and ADMs used in humanitarian action, we endorse the concept of “explicability” as developed within the ethical framework of machine learning and human-computer interaction, together with a set of proxy metrics.Finally, we stress the need for developing auditable standards, as well as transparent guidelines and frameworks to rein in the risks of what has been defined as humanitarian experimentation (Sandvik, Jacobsen, and McDonald, Int. Rev. Red Cross 99(904), 319–344, 2017). This article concludes that accountability mechanisms for AI-based systems and ADMs used to respond to the needs of populations in situation of vulnerability should be an essential feature by default, in order to preserve the respect of the do no harm principle even in the digital dimension of aid.In conclusion, while we confirm existing concerns related to the adoption of AI-based systems and ADMs in humanitarian action, we also advocate for a roadmap towards humanitarian AI for the sector and introduce a tentative ethics framework as basis for future research.","Coppi, Giulio",2021/12,Research article,,
https://jfin-swufe.springeropen.com/articles/10.1186/s40854-023-00576-1,SpringerOpen,Relationship between fintech by Google search and bank stock return: a case study of Vietnam,"Due to the ongoing global debate regarding the relationship between fintech and banks, including developing countries, this study aims to investigate this relationship in the case of Vietnam, an emerging nation. The study analyzes the relationship between fintech search and bank stock returns, which are measures of fintech and banks, respectively. The time series data for fintech and bank stock returns were obtained from Google Trends and Vietstock, respectively. Exploratory factor analysis was utilized to derive the fintech variables, while the bank stock return variable was calculated using a basket of eight listed banks from 2017w46 to 2021w46. The results were estimated using the vector autoregression and Granger causality method and validated with the copula method. A key finding of this study is the presence of a simultaneous negative change and bidirectional causality between bank stock returns and fintech lending. Furthermore, several other interesting findings were discovered: (1) the causal relationship from fintech to bank stock returns is weaker compared with the opposite direction; (2) unidirectional causality exists between different types of fintech, such as influence from FinFintech to FinLending, from FinPayment to FinLending and FinWallet, from FinMoney to FinFintech, from FinWallet to FinLending, and from FinProduct to FinFintech; and (3) there is an equal occurrence of simultaneous increase or decrease between bank stock returns and certain types of fintech, specifically between BankReturn and FinPayment, BankReturn and FinLending, as well as BankReturn and FinWallet. These findings shed light on the complex relationship between fintech and banks, offering insights that contribute to our understanding of this dynamic interplay in the context of Vietnam’s emerging fintech landscape.","Pham, Tien Phat",2024/12,Research,,
https://slejournal.springeropen.com/articles/10.1186/s40561-024-00293-x,SpringerOpen,Navigating the digital world: development of an evidence-based digital literacy program and assessment tool for youth,"The rapid expansion of digital connectivity has provided youth with wide-ranging access to digital platforms for communication, entertainment, and education. In light of this profound shift, there have been growing concerns about online safety, data privacy, and cybersecurity. A critical factor influencing the ability of youth to responsibly navigate digital platforms is digital literacy. While digital literacy programs have been implemented in various regions worldwide, significant disparities remain not only in overall digital literacy levels, but also the assessment of digital literacy initiatives. To address these challenges, an environmental scan and literature review were conducted to identify existing digital literacy programs in Canada developed specifically for youth, as well as digital literacy assessment tools, respectively. The search encompassed peer-reviewed articles, organizational curricula, and assessment measures indexed in various databases and organization websites. The environmental scan identified 15 programs targeting key components of digital literacy such as data safety, cyberbullying, and digital media. The literature review identified 12 digital literacy assessment tools. Based on the findings, data were synthesized from shortlisted programs and assessment tools to inform the development of both a new digital literacy program and assessment tool to complement the youth-focused program. The new program focuses on four key components: (1) digital fluency, (2) digital privacy and safety, (3) ethics and empathy, and (4) consumer awareness. A 15-item assessment tool was also developed consisting of 4–5 questions specific to each program component. Given the growing importance of digital competencies, a youth-focused program and assessment tool are crucial for understanding and addressing digital literacy among this vulnerable cohort. This program's adaptability allows for customization across sociodemographic target groups, including culturally diverse and geographically remote communities—an aspect that has the potential to enhance digital literacy across settings. Implementing digital literacy programs can better prepare youth for an increasingly digital world, while minimizing potential risks associated with technology use.","Buchan, M. Claire",2024/12,Research,,
https://journalofcloudcomputing.springeropen.com/articles/10.1186/s13677-021-00227-9,SpringerOpen,Multi-chain and data-chains partitioning algorithm in intelligent manufacturing CPS,"This paper proposes a new algorithm for the blockchain system based on multi-chain storage for CPS under edge cloud computing, in which the nodes of the system are divided according to the relationship of communication tightness.The experimental results show that the algorithm based on the multi-chain storage structure for nodes divided can reduce the data synchronization time and space, and improve the expansion ability of the system. Besides, the data in the system can be isolated from each other with the multi-chain structure, thus preventing the leakage of sensitive data and improving the information security of the system.","Li, Suisheng",2021/12,Research,,
